algo,reward,seed,mean_queue,mean_wait,mean_wait_per_veh,mean_speed,throughput,mean_travel_time,total_reward
dqn,pressure,s999,424.1277777777778,1393126.0430555556,2803.0419689974647,0.8191300456168493,3631,80.38281465161113,-175.985494689201
dqn,pressure,s9999,404.90277777777777,1159477.2868055555,2418.323377663438,0.9259259799188883,4036,166.3689296333003,-152.21935400611255
dqn,queue,s123,319.26180555555555,1066692.0979166667,2786.928094803757,1.161913971866259,4873,75.08208495793146,-129.87379210966174
dqn,queue,s314,328.06041666666664,1084757.0805555556,2763.1925286126934,1.1180094217456091,4870,79.3788501026694,-128.47076723503415
dqn,queue,s2025,649.58125,2033817.4458333333,2742.9975109775332,0.38136322786565185,946,48.979915433403804,-258.49334767635446
dqn,queue,s2718,371.6798611111111,1092795.35,2469.0098768955513,0.926680196821419,4561,164.76649857487394,-138.2266117298277
dqn,queue,s42,320.98541666666665,1077600.8430555556,2795.2363937782743,1.2064126898150451,4872,74.16050903119869,-130.6717757184524
dqn,queue,s9999,211.80416666666667,523963.2965277778,1788.6344312490992,2.1982169269855354,6695,113.07094846900672,-106.24415289133321
dqn,queue,s777,319.94097222222223,1039909.2631944445,2720.9564164109593,1.1149317871576774,4829,85.81176226962104,-115.27338758728001
dqn,queue,s999,446.6798611111111,1389500.896527778,2628.7892509149856,0.7931514492737901,4003,90.10866849862603,-160.25543809554074
dqn,wait-clip,s123,611.1555555555556,2072286.6027777777,3196.752676033694,0.16446437117835966,288,46.40625,-210.31855253793765
dqn,wait-clip,s2718,333.4819444444444,1046616.3888888889,2586.7196797674646,1.0535572103855249,4784,107.3003762541806,-120.18044040410314
dqn,wait-clip,s314,404.0229166666667,1102492.209027778,2369.8224105749964,0.7996859786296511,4080,219.00980392156862,-151.22641199047212
dqn,wait-clip,s42,317.50555555555553,1068482.8131944444,2801.881931563326,1.2171871448390277,4876,72.91222313371615,-129.9199612919474
dqn,wait-clip,s2025,891.1548611111111,2880539.797222222,2957.3449418519544,0.28110195603325844,394,61.535532994923855,-269.5403072197223
dqn,wait-clip,s999,320.8861111111111,1077637.1888888888,2802.5688645636833,1.2115086397115389,4872,72.63854679802955,-130.54738046450075
dqn,wait-clip,s777,611.1520833333333,2072199.1833333333,3196.6189502871957,0.1646484371030079,288,46.12847222222222,-210.33750413369853
dqn,wait-clip,s9999,320.8826388888889,1077627.9118055555,2797.954816409113,1.2074837568023302,4869,73.71842267406038,-130.6508079863852
ppo,pressure,s123,319.0201388888889,1071571.088888889,2789.569467733231,1.2124214401691826,4873,74.73630207264519,-130.14092927181628
ppo,pressure,s2025,319.24097222222224,1071561.3444444444,2795.4095278307436,1.213457947981767,4874,73.76590069757899,-130.1449614301091
ppo,pressure,s2718,319.8930555555556,1074550.2694444444,2798.8266278487745,1.2125976882151368,4877,73.34939511995078,-130.12520334299188
ppo,pressure,s314,319.2576388888889,1071502.651388889,2793.4392185671486,1.2137851786802587,4874,73.80693475584735,-130.65363067004364
ppo,pressure,s42,317.15277777777777,1065435.0805555556,2794.7352451585703,1.2182222804925378,4874,73.70024620434961,-129.57923551124986
ppo,pressure,s777,319.9347222222222,1074486.0951388888,2794.034537085841,1.2083876759101393,4870,74.04722792607802,-130.6104853033321
ppo,pressure,s999,320.9222222222222,1077498.4701388888,2798.4735689233967,1.2109003161702687,4874,73.44275748871563,-130.6411304877838
ppo,queue,s123,324.90763888888887,1052808.5513888889,2694.4262971819035,1.2057328676562586,4928,76.60409902597402,-132.4189498439664
ppo,pressure,s9999,322.6458333333333,1083724.4604166667,2787.397866240837,1.1986439008000294,4876,75.48400328137818,-131.17802620085422
ppo,queue,s2025,319.0805555555556,1071539.0326388888,2796.2984983463357,1.2147377990899781,4873,73.56248717422532,-130.13770339020994
ppo,queue,s2718,317.11805555555554,1065451.2347222222,2798.6528520468314,1.2191024572628013,4871,73.03120509135701,-130.0203646834707
ppo,queue,s314,319.89444444444445,1074549.1680555556,2799.5689113586027,1.2097553337160685,4868,73.33709942481512,-130.62318703404162
ppo,queue,s42,319.89444444444445,1074549.1680555556,2799.5689113586027,1.2097553337160685,4868,73.33709942481512,-130.62318703404162
ppo,queue,s777,319.00694444444446,1071534.2826388888,2790.639072623143,1.2128861409081828,4870,74.44558521560575,-130.06693713983987
ppo,queue,s999,454.1097222222222,1481933.2,2802.898351384069,0.8211497223735458,3897,86.04311008468052,-161.64213245816063
ppo,queue,s9999,318.90763888888887,1071561.554861111,2798.8420441802855,1.2114412063778448,4871,73.20981318004516,-130.0268163488945
ppo,wait-clip,s123,612.2118055555555,2076184.775,3197.71094493681,0.16394873238342939,290,46.172413793103445,-210.3254073226126
ppo,wait-clip,s2025,610.33125,2069821.379861111,3197.7769995539898,0.16449740005001104,290,45.86206896551724,-210.32097180292476
ppo,wait-clip,s2718,543.9805555555556,1909122.0166666666,3422.4968069352863,0.06544395498896875,20,23.5,-150.71653610060457
ppo,wait-clip,s314,699.3694444444444,2360269.4,3166.6768474112278,0.1544514652918661,371,46.105121293800536,-197.1187439603964
ppo,wait-clip,s42,542.1493055555555,1903121.2277777777,3423.9823702403487,0.06562060342286424,21,24.285714285714285,-151.28085007204209
ppo,wait-clip,s777,541.8069444444444,1821100.232638889,3153.346609449512,0.19982905663298894,372,54.71774193548387,-208.68488459533546
ppo,wait-clip,s999,697.78125,2355676.2020833334,3168.7308696752084,0.15531570186449278,371,46.26684636118598,-196.65080085780937
ppo,wait-clip,s9999,608.1138888888889,2063905.69375,3202.668292002108,0.1637440787618617,288,46.21527777777778,-209.45161786314566
