algo,reward,seed,flow,cycle_num,queue_length
webster,-,-,high,26,1.6
webster,-,-,high,27,0.6444444444444445
webster,-,-,high,28,1.0
webster,-,-,high,29,1.0
webster,-,-,high,30,1.0444444444444445
webster,-,-,high,31,0.8777777777777778
webster,-,-,high,32,1.0888888888888888
webster,-,-,high,33,1.1222222222222222
webster,-,-,high,34,1.1444444444444444
webster,-,-,high,35,0.9444444444444444
webster,-,-,high,36,0.9333333333333333
webster,-,-,high,37,0.7888888888888889
webster,-,-,high,38,1.0444444444444445
webster,-,-,high,39,0.9111111111111111
webster,-,-,high,40,0.8666666666666667
webster,-,-,high,41,1.1555555555555554
webster,-,-,high,42,1.0333333333333334
webster,-,-,high,43,0.9777777777777777
webster,-,-,high,44,0.9222222222222223
webster,-,-,high,45,0.7777777777777778
webster,-,-,high,46,0.8222222222222222
webster,-,-,high,47,1.0555555555555556
webster,-,-,high,48,0.8333333333333334
webster,-,-,high,49,0.6888888888888889
webster,-,-,high,50,1.1
webster,-,-,high,51,1.4333333333333333
webster,-,-,high,52,1.2333333333333334
webster,-,-,high,53,1.5777777777777777
webster,-,-,high,54,0.6555555555555556
webster,-,-,high,55,0.6862745098039216
fixed,-,-,medium,0,0.7777777777777778
fixed,-,-,medium,1,3.5555555555555554
fixed,-,-,medium,2,2.3333333333333335
fixed,-,-,medium,3,3.0
fixed,-,-,medium,4,3.0555555555555554
fixed,-,-,medium,5,1.4444444444444444
fixed,-,-,medium,6,2.7222222222222223
fixed,-,-,medium,7,3.5555555555555554
fixed,-,-,medium,8,2.888888888888889
fixed,-,-,medium,9,3.2777777777777777
fixed,-,-,medium,10,3.8333333333333335
fixed,-,-,medium,11,2.5555555555555554
fixed,-,-,medium,12,1.6111111111111112
fixed,-,-,medium,13,2.8333333333333335
fixed,-,-,medium,14,1.7777777777777777
fixed,-,-,medium,15,3.0
fixed,-,-,medium,16,3.9444444444444446
fixed,-,-,medium,17,4.222222222222222
fixed,-,-,medium,18,3.3333333333333335
fixed,-,-,medium,19,2.8333333333333335
fixed,-,-,medium,20,4.333333333333333
fixed,-,-,medium,21,3.2222222222222223
fixed,-,-,medium,22,2.2222222222222223
fixed,-,-,medium,23,3.2777777777777777
fixed,-,-,medium,24,3.7777777777777777
fixed,-,-,medium,25,3.111111111111111
fixed,-,-,medium,26,2.8333333333333335
fixed,-,-,medium,27,4.055555555555555
fixed,-,-,medium,28,2.9444444444444446
fixed,-,-,medium,29,2.7222222222222223
fixed,-,-,medium,30,2.611111111111111
fixed,-,-,medium,31,2.7777777777777777
fixed,-,-,medium,32,2.888888888888889
fixed,-,-,medium,33,1.9444444444444444
fixed,-,-,medium,34,3.9444444444444446
fixed,-,-,medium,35,2.5555555555555554
fixed,-,-,medium,36,2.388888888888889
fixed,-,-,medium,37,3.4444444444444446
fixed,-,-,medium,38,3.388888888888889
fixed,-,-,medium,39,4.277777777777778
fixed,-,-,medium,40,1.6111111111111112
fixed,-,-,medium,41,2.7222222222222223
fixed,-,-,medium,42,2.9444444444444446
fixed,-,-,medium,43,3.4444444444444446
fixed,-,-,medium,44,2.888888888888889
fixed,-,-,medium,45,3.1666666666666665
fixed,-,-,medium,46,3.388888888888889
fixed,-,-,medium,47,3.0
fixed,-,-,medium,48,2.9444444444444446
fixed,-,-,medium,49,3.0555555555555554
fixed,-,-,medium,50,3.0555555555555554
fixed,-,-,medium,51,2.888888888888889
fixed,-,-,medium,52,3.0
fixed,-,-,medium,53,3.388888888888889
fixed,-,-,medium,54,2.9444444444444446
fixed,-,-,medium,55,2.7
webster,-,-,medium,0,0.5168539325842697
webster,-,-,medium,1,0.6888888888888889
webster,-,-,medium,2,0.24444444444444444
webster,-,-,medium,3,0.6
webster,-,-,medium,4,0.5777777777777777
webster,-,-,medium,5,0.36666666666666664
webster,-,-,medium,6,0.5444444444444444
webster,-,-,medium,7,0.6333333333333333
webster,-,-,medium,8,0.35555555555555557
webster,-,-,medium,9,0.4
webster,-,-,medium,10,0.6222222222222222
webster,-,-,medium,11,0.6444444444444445
webster,-,-,medium,12,0.4777777777777778
webster,-,-,medium,13,0.4111111111111111
webster,-,-,medium,14,0.6111111111111112
webster,-,-,medium,15,0.37777777777777777
webster,-,-,medium,16,0.2111111111111111
webster,-,-,medium,17,0.3888888888888889
webster,-,-,medium,18,0.43333333333333335
webster,-,-,medium,19,0.6777777777777778
webster,-,-,medium,20,0.7666666666666667
webster,-,-,medium,21,0.4666666666666667
webster,-,-,medium,22,0.3111111111111111
webster,-,-,medium,23,0.3888888888888889
webster,-,-,medium,24,0.4666666666666667
webster,-,-,medium,25,0.5
webster,-,-,medium,26,0.5333333333333333
webster,-,-,medium,27,0.45555555555555555
webster,-,-,medium,28,0.4444444444444444
webster,-,-,medium,29,0.34444444444444444
webster,-,-,medium,30,0.5555555555555556
webster,-,-,medium,31,0.4222222222222222
webster,-,-,medium,32,0.3888888888888889
webster,-,-,medium,33,0.43333333333333335
webster,-,-,medium,34,0.45555555555555555
webster,-,-,medium,35,0.5222222222222223
webster,-,-,medium,36,0.4444444444444444
webster,-,-,medium,37,0.5666666666666667
webster,-,-,medium,38,0.6555555555555556
webster,-,-,medium,39,0.6
webster,-,-,medium,40,0.28888888888888886
webster,-,-,medium,41,0.6777777777777778
webster,-,-,medium,42,0.6555555555555556
webster,-,-,medium,43,0.4222222222222222
webster,-,-,medium,44,0.5888888888888889
webster,-,-,medium,45,0.5444444444444444
webster,-,-,medium,46,0.8111111111111111
webster,-,-,medium,47,0.3111111111111111
webster,-,-,medium,48,0.35555555555555557
webster,-,-,medium,49,0.4666666666666667
webster,-,-,medium,50,0.4111111111111111
webster,-,-,medium,51,0.35555555555555557
webster,-,-,medium,52,0.4777777777777778
webster,-,-,medium,53,0.45555555555555555
webster,-,-,medium,54,0.4666666666666667
webster,-,-,medium,55,0.17647058823529413
fixed,-,-,low,0,0.7222222222222222
fixed,-,-,low,1,1.5555555555555556
fixed,-,-,low,2,0.8333333333333334
fixed,-,-,low,3,0.9444444444444444
fixed,-,-,low,4,1.6111111111111112
fixed,-,-,low,5,1.8333333333333333
fixed,-,-,low,6,0.9444444444444444
fixed,-,-,low,7,0.8888888888888888
fixed,-,-,low,8,1.8333333333333333
fixed,-,-,low,9,2.2222222222222223
fixed,-,-,low,10,1.1666666666666667
fixed,-,-,low,11,1.3888888888888888
fixed,-,-,low,12,1.7777777777777777
fixed,-,-,low,13,2.0555555555555554
fixed,-,-,low,14,1.6666666666666667
fixed,-,-,low,15,1.6111111111111112
fixed,-,-,low,16,1.4444444444444444
fixed,-,-,low,17,0.6666666666666666
fixed,-,-,low,18,1.3888888888888888
fixed,-,-,low,19,1.6111111111111112
fixed,-,-,low,20,1.2777777777777777
fixed,-,-,low,21,0.8888888888888888
fixed,-,-,low,22,1.0
fixed,-,-,low,23,1.3333333333333333
fixed,-,-,low,24,2.388888888888889
fixed,-,-,low,25,1.0
fixed,-,-,low,26,0.9444444444444444
fixed,-,-,low,27,2.2777777777777777
fixed,-,-,low,28,2.388888888888889
fixed,-,-,low,29,1.8888888888888888
fixed,-,-,low,30,1.8888888888888888
fixed,-,-,low,31,1.7777777777777777
fixed,-,-,low,32,1.9444444444444444
fixed,-,-,low,33,1.4444444444444444
fixed,-,-,low,34,1.3888888888888888
fixed,-,-,low,35,0.5555555555555556
fixed,-,-,low,36,1.5
fixed,-,-,low,37,1.2777777777777777
fixed,-,-,low,38,0.7777777777777778
fixed,-,-,low,39,1.2222222222222223
fixed,-,-,low,40,0.8333333333333334
fixed,-,-,low,41,0.6666666666666666
fixed,-,-,low,42,1.3888888888888888
fixed,-,-,low,43,1.8888888888888888
