algo,reward,obs_mode,seed,mean_queue,mean_wait,mean_wait_per_veh,mean_speed,throughput,mean_travel_time,total_reward
ddqn,wait-clip,resco,s9999,33.366883116883116,311.5201298701299,9.539558673108553,2.9640995276173365,8509,98.30708661417323,-1599.1133333333348
dqn,pressure,resco,s123,199.0857142857143,578652.4071428571,2451.9835087261154,0.5839755400043365,2160,88.77314814814815,-7562.653333333334
dqn,pressure,resco,s42,29.05064935064935,276.5090909090909,9.983672058307667,2.9485269927676625,8220,99.42883211678833,-1419.0833333333342
dqn,pressure,resco,s777,43.61168831168831,1540.4142857142858,33.26775106310361,3.107552912932539,8647,96.09344281253614,-5465.209999999985
dqn,pressure,resco,s999,144.5090909090909,366611.27597402595,2027.164884197507,0.7463743987062189,2432,101.20065789473684,-7498.77
dqn,queue,resco,s123,199.0857142857143,578652.4071428571,2451.9835087261154,0.5839755400043365,2160,88.77314814814815,-7562.653333333334
dqn,queue,resco,s42,29.05064935064935,276.5090909090909,9.983672058307667,2.9485269927676625,8220,99.42883211678833,-1419.0833333333342
dqn,queue,resco,s777,43.61168831168831,1540.4142857142858,33.26775106310361,3.107552912932539,8647,96.09344281253614,-5465.209999999985
dqn,queue,resco,s999,144.5090909090909,366611.27597402595,2027.164884197507,0.7463743987062189,2432,101.20065789473684,-7498.77
dqn,wait-clip,resco,s123,27.216233766233767,126.35454545454546,4.536537678880866,2.5444135476484977,7311,113.80317330050609,-648.5999999999999
dqn,wait-clip,resco,s2025,30.964935064935066,311.1935064935065,10.257414593464835,2.9134662752800686,8435,99.87966804979253,-1597.1199999999965
dqn,wait-clip,resco,s2718,34.73116883116883,354.91623376623374,9.825083510992691,3.3843770921472154,8688,88.94970073664825,-1821.5566666666643
dqn,wait-clip,resco,s314,27.924675324675324,252.82402597402597,8.253987062747129,3.4819768574574574,8124,86.84945839487936,-1294.133333333332
dqn,wait-clip,resco,s42,24.97142857142857,128.28571428571428,5.16445922863475,2.6263960390060865,7518,110.71428571428571,-658.5100000000008
dqn,wait-clip,resco,s777,24.966883116883118,135.09025974025974,5.5050038984304885,2.6424873637363793,7598,109.72558568044222,-693.3533333333329
dqn,wait-clip,resco,s999,31.94090909090909,338.4616883116883,10.731753899157752,3.089027778255845,8258,97.50544926132235,-1737.3266666666625
dqn,wait-clip,resco,s9999,39.29480519480519,383.8538961038961,9.842429035764319,2.8206484266408762,7754,105.25857621872582,-1970.1199999999997
ppo,pressure,raw,s123,26.98125,765.1180555555555,6.334846310431832,2.474938037528961,7256,118.05609151047409,-45.19435483870975
ppo,pressure,raw,s2025,27.052083333333332,361.92083333333335,3.1289191514176933,2.239885308845527,6201,130.4958877600387,-53.25403225806451
ppo,pressure,raw,s2718,46.768055555555556,1395.7930555555556,10.675542186972933,1.7031896054427347,5350,171.12616822429908,-81.68870967741923
ppo,pressure,raw,s314,40.03958333333333,245.29305555555555,2.1702504215909153,1.8136507429870998,4979,160.28519783088973,-91.52177419354824
ppo,pressure,raw,s42,19.07638888888889,239.42083333333332,2.133523608232239,2.6416310793421247,7233,110.15553712152634,-34.38145161290323
ppo,pressure,raw,s777,20.070138888888888,280.4972222222222,2.4749738980447846,2.6027061062372905,7178,111.81178601281694,-35.91290322580649
ppo,pressure,raw,s999,36.28263888888889,194.85416666666666,1.7306989692115622,1.8959154549854678,5189,153.4303333975718,-82.66048387096758
ppo,pressure,raw,s9999,39.514583333333334,238.15625,2.105082571826709,1.8225959481675567,5002,159.65213914434227,-90.26370967741943
ppo,queue,raw,s123,71.61180555555555,7583.553472222222,43.7732189827186,1.8736446481897726,7391,155.10891624949264,-133.61774193548388
ppo,queue,raw,s2025,121.58472222222223,424419.2638888889,3422.750596169205,0.09443875663920635,126,57.46031746031746,-282.73064516128284
ppo,queue,raw,s2718,45.35208333333333,1356.5201388888888,10.481326478000094,1.7224169051883462,5341,169.41958434750046,-78.59435483870952
ppo,queue,raw,s314,65.03819444444444,7902.121527777777,63.97930592167251,1.4072756800178507,4225,210.003550295858,-132.82419354838686
ppo,queue,raw,s42,24.706944444444446,711.425,5.941341000733165,2.525818320383708,7307,115.43725195018476,-39.460483870967714
ppo,queue,raw,s777,23.739583333333332,623.8611111111111,5.276134405500309,2.5591026812483944,7327,114.09717483281015,-38.766129032258064
ppo,queue,raw,s999,126.93125,446687.52708333335,3462.7045554769784,0.07923630138910419,87,52.52873563218391,-283.8435483870892
ppo,queue,raw,s9999,106.61875,282853.49583333335,2244.9135857916717,0.44019154332394583,1110,141.0810810810811,-243.78064516128507
ppo,wait-clip,raw,s123,66.06875,5167.558333333333,33.91464084070721,1.4848999199827952,5315,193.43367826904986,-116.4862903225806
ppo,wait-clip,raw,s2025,45.47013888888889,564.5201388888889,4.733482516781839,1.7645291494077309,4945,164.37613751263902,-98.84435483870985
ppo,wait-clip,raw,s2718,128.8673611111111,459656.59305555554,3535.849738158747,0.05185147110467455,25,31.2,-286.00322580644394
ppo,wait-clip,raw,s314,128.87430555555557,459719.11666666664,3536.3314109118824,0.05127880517087539,24,30.416666666666668,-286.0209677419278
ppo,wait-clip,raw,s42,199.69027777777777,574721.2298611111,2363.7508925538505,0.49107220294782405,1744,105.01720183486239,-252.1725806451555
ppo,wait-clip,raw,s777,107.87013888888889,281641.3388888889,1676.4087577065447,1.0982619435881782,4195,114.24672228843862,-151.07177419354835
ppo,wait-clip,raw,s999,34.59861111111111,847.09375,7.018087396897679,2.0199378459719455,5693,144.97979975408396,-67.8814516129032
ppo,wait-clip,raw,s9999,86.1673611111111,145075.10416666666,1151.4696693570727,0.8612711244999383,2277,147.88098375054898,-197.40967741935222
